respid,response_type,response_text,sex,age_cohorts,political_id3,close_nkmigrants
85,vote,직업적으로 안정이 되고 지식 수준이 있음,Male,18-29,Centrist,Somewhat distant
86,hire,젊은 나이,Male,18-29,Progressive,Neither close nor distant
86,neighbor,젊은 나이에 따른 가능성,Male,18-29,Progressive,Neither close nor distant
86,vote,경험에 따른 주변인과의 어울림,Male,18-29,Progressive,Neither close nor distant
87,hire,정치에 B보다 잘 알것같음,Male,18-29,Centrist,Neither close nor distant
87,neighbor,"결혼, 한국체류기간이 굿",Male,18-29,Centrist,Neither close nor distant
87,vote,여자라서,Male,18-29,Centrist,Neither close nor distant
88,hire,젊어서,Male,18-29,Centrist,Very close
88,neighbor,자녀의유무여부,Male,18-29,Centrist,Very close
88,vote,무한한 가능성,Male,18-29,Centrist,Very close
89,hire,자녀가 있어서,Male,30-39,Centrist,Neither close nor distant
89,neighbor,결혼을 해서,Male,30-39,Centrist,Neither close nor distant
89,vote,나이가 들어서,Male,30-39,Centrist,Neither close nor distant
90,hire,"최근에 도착했지만 한국인 동료가 있으므로 한국 사회에서 어울려 살아가기 쉽고, 고급인력이라서 한국 사회에 도움이 될 것이다",Female,60+,Progressive,Neither close nor distant
90,neighbor,현재 직업이 있어서,Female,60+,Progressive,Neither close nor distant
90,vote,B는 한국에 온지 12년이나 되었는데도 한국인과 전혀 의미있는 인간관계를 맺지 않고 있다.,Female,60+,Progressive,Neither close nor distant
91,hire,자녀를 키우고 있기 때문,Male,60+,Centrist,Neither close nor distant
91,neighbor,아직 젊기 때문,Male,60+,Centrist,Neither close nor distant
91,vote,한국에 산지도 좀더 되고 한국인 친구가 있기 때문,Male,60+,Centrist,Neither close nor distant
92,hire,이유없음,Female,18-29,Centrist,Somewhat distant
92,neighbor,.,Female,18-29,Centrist,Somewhat distant
92,vote,.,Female,18-29,Centrist,Somewhat distant
93,hire,B같은 경우에는 한국에 7년을 있었으나 주변의 인관관계중 한국인이 적어서,Male,18-29,Centrist,Very close
93,neighbor,무직인 사람보다는 낫다고 생각한다,Male,18-29,Centrist,Very close
93,vote,ㅇ던시시,Male,18-29,Centrist,Very close
94,hire,a는 한국인 동료가 없어 살짝 불안하다,Female,30-39,Conservative,Somewhat distant
94,neighbor,컴퓨터를 잘활용할것 같으므로,Female,30-39,Conservative,Somewhat distant
94,vote,상대방보다 한국에서 훨씬 적응을 잘하는 것 같다,Female,30-39,Conservative,Somewhat distant
95,hire,나이가 있고 한국 체류기간이 길어서,Female,18-29,Centrist,Neither close nor distant
95,neighbor,인맥,Female,18-29,Centrist,Neither close nor distant
95,vote,의사라서,Female,18-29,Centrist,Neither close nor distant
96,hire,연령,Male,18-29,Progressive,Neither close nor distant
96,neighbor,현재 직업이 컴퓨터 프로그래머라는 점.,Male,18-29,Progressive,Neither close nor distant
96,vote,직업,Male,18-29,Progressive,Neither close nor distant
97,hire,"조선노동당과 관련이 없기에 정치적 지위를 담당하더라도 큰 우려가 없으며 한국에서 충분한 기간 체류하였기 때문에, 한국에 대한 충분한 이해도 역시 갖추고 있다고 생각된다.",Male,40-49,Conservative,Somewhat distant
97,neighbor,젊다,Male,40-49,Conservative,Somewhat distant
97,vote,"명확한 직업이 있다,",Male,40-49,Conservative,Somewhat distant
98,hire,그냥 a는 미혼인데 자녀가 있어서,Female,18-29,Centrist,Neither close nor distant
98,neighbor,컴퓨터 프로그래머라서,Female,18-29,Centrist,Neither close nor distant
98,vote,의사여서,Female,18-29,Centrist,Neither close nor distant
99,hire,의사라서,Male,18-29,Conservative,Neither close nor distant
99,neighbor,젊어서,Male,18-29,Conservative,Neither close nor distant
99,vote,의사라서,Male,18-29,Conservative,Neither close nor distant
101,hire,둘 다 싫은데 하나를 뽑으래서 랜덤으로 뽑았다.,Female,30-39,Centrist,Neither close nor distant
101,neighbor,중국 체류기간 짧음,Female,30-39,Centrist,Neither close nor distant
101,vote,자녀가 있으므로 좀더 친절할것같아서,Female,30-39,Centrist,Neither close nor distant
102,hire,노동당원 경력 무,Female,60+,Conservative,Neither close nor distant
102,neighbor,자녀가 있다면 책임감이 강할 것 같아서,Female,60+,Conservative,Neither close nor distant
102,vote,중국 체류기간 짧음,Female,60+,Conservative,Neither close nor distant
103,hire,자녀가 있어서,Male,18-29,Progressive,Neither close nor distant
103,neighbor,젊어서 기존 가치관의 변화가 쉬우리라 예상된다.,Male,18-29,Progressive,Neither close nor distant
103,vote,특별한 이유 없다,Male,18-29,Progressive,Neither close nor distant
104,hire,노동당원 아니다. 젊다. 한국인 동료가 있다. 한국 내 체류기간이 길다.,Male,40-49,Centrist,Neither close nor distant
104,neighbor,노동당원이 아니었다,Male,40-49,Centrist,Neither close nor distant
104,vote,체류기간이 길어서 한국 사회 분위기에 잘 적응했을 것이다.,Male,40-49,Centrist,Neither close nor distant
105,hire,중국체류기간이 짧다,Female,40-49,Centrist,Somewhat distant
105,neighbor,중국체류기간이 적음,Female,40-49,Centrist,Somewhat distant
105,vote,직업이 안정적,Female,40-49,Centrist,Somewhat distant
106,hire,더 안정적이다,Male,30-39,Progressive,Neither close nor distant
106,neighbor,조금 더 호감이 간다,Male,30-39,Progressive,Neither close nor distant
106,vote,한국 내 체류기간이 길어서,Male,30-39,Progressive,Neither close nor distant
107,hire,조금 더 호감이 간다,Female,18-29,Progressive,Somewhat close
107,neighbor,전노동당원이 아니고 한국인 동료도 있어서,Female,18-29,Progressive,Somewhat close
107,vote,조금 더 신뢰가 간다,Female,18-29,Progressive,Somewhat close
108,hire,저 노동당원이 아니고 한국인 동료가 있어서,Male,60+,Progressive,Somewhat distant
108,neighbor,조금이라도 고등 교육을 받은 사람이 필요하다,Male,60+,Progressive,Somewhat distant
108,vote,전 노동당원이 아니라서,Male,60+,Progressive,Somewhat distant
109,hire,둘 다 선호하지 않는다 그나마 조금이라도 덜 꺼려 진다,Female,60+,Progressive,Somewhat distant
109,neighbor,연령이 더 높으므로 안정적,Female,60+,Progressive,Somewhat distant
109,vote,둘 다 똑같다,Female,60+,Progressive,Somewhat distant
110,hire,중국 체류 짧음,Female,18-29,Centrist,Neither close nor distant
110,neighbor,의사라서,Female,18-29,Centrist,Neither close nor distant
110,vote,노동당 당원 여부,Female,18-29,Centrist,Neither close nor distant
111,hire,한국인 동료가 있어서,Male,60+,Centrist,Neither close nor distant
111,neighbor,젊음,Male,60+,Centrist,Neither close nor distant
111,vote,가정이 있어서,Male,60+,Centrist,Neither close nor distant
112,hire,직장,Female,60+,Conservative,Neither close nor distant
112,neighbor,업무적으로 필요하다,Female,60+,Conservative,Neither close nor distant
112,vote,한국체류기간,Female,60+,Conservative,Neither close nor distant
113,hire,한국에 7년 살아서 한국 사정을 조금 안다,Female,60+,Centrist,Very distant
113,neighbor,남성은 정년의 나이라서,Female,60+,Centrist,Very distant
113,vote,우리는 의사가 필요하다,Female,60+,Centrist,Very distant
114,hire,자녀가 있고 직업이 안정적,Female,60+,Progressive,Neither close nor distant
114,neighbor,중국체류기간이 짦아야 중국영향을 덜 받는다,Female,60+,Progressive,Neither close nor distant
114,vote,결혼 후 무직,Female,60+,Progressive,Neither close nor distant
115,hire,중국의 영향을 덜 받은 사람이 좋다,Female,18-29,Conservative,Neither close nor distant
115,neighbor,어림,Female,18-29,Conservative,Neither close nor distant
115,vote,프로그래머가 더 활용하기 좋아서,Female,18-29,Conservative,Neither close nor distant
116,hire,한국인동료가있음,Female,18-29,Progressive,Somewhat distant
116,neighbor,한국인 동료도 있어서,Female,18-29,Progressive,Somewhat distant
116,vote,여성이라서,Female,18-29,Progressive,Somewhat distant
117,hire,한국 체류 기간이 더 오래되어서,Female,60+,Progressive,Very distant
117,neighbor,무직보단 직업이 있는게 낫다,Female,60+,Progressive,Very distant
117,vote,한국 체류 기간이 더 길어서,Female,60+,Progressive,Very distant
118,hire,믿을만한 직업이 있다,Male,18-29,Centrist,Somewhat distant
118,neighbor,더 합리적이서,Male,18-29,Centrist,Somewhat distant
118,vote,나이가 어리기에발전 가능성이 있다.,Male,18-29,Centrist,Somewhat distant
120,hire,더 진보적이다,Male,40-49,Progressive,Neither close nor distant
120,neighbor,찍었음,Male,40-49,Progressive,Neither close nor distant
120,vote,더 구체적이다,Male,40-49,Progressive,Neither close nor distant
121,hire,그냥 찍었음.,Female,60+,Centrist,Somewhat distant
121,neighbor,그냥,Female,60+,Centrist,Somewhat distant
121,vote,.,Female,60+,Centrist,Somewhat distant
122,hire,한국 체류기간이 길어서,Female,18-29,Centrist,Neither close nor distant
122,neighbor,무자녀,Female,18-29,Centrist,Neither close nor distant
122,vote,그냥,Female,18-29,Centrist,Neither close nor distant
123,hire,결혼,Female,60+,Centrist,Neither close nor distant
123,neighbor,얺음,Female,60+,Centrist,Neither close nor distant
123,vote,연령,Female,60+,Centrist,Neither close nor distant
124,hire,선택 하고 싶지 않음,Male,18-29,Progressive,Very distant
124,neighbor,둘 다 선택하고 싶지 않다,Male,18-29,Progressive,Very distant
124,vote,얺음,Male,18-29,Progressive,Very distant
125,hire,한국에 보다 잘 정착한 것 같다,Male,60+,Conservative,Somewhat distant
125,neighbor,ㅂㄴ,Male,60+,Conservative,Somewhat distant
125,vote,한국에 보다 잘 정착함,Male,60+,Conservative,Somewhat distant
126,hire,그냥,Female,18-29,Centrist,Somewhat distant
126,neighbor,한국에 오래 거주해서,Female,18-29,Centrist,Somewhat distant
126,vote,그냥,Female,18-29,Centrist,Somewhat distant
127,hire,특별히 없음,Male,60+,Conservative,Neither close nor distant
127,neighbor,직업이 의사이며 한국체류기간이 긴 편,Male,60+,Conservative,Neither close nor distant
127,vote,특별히 없음,Male,60+,Conservative,Neither close nor distant
128,hire,체류기간이 길고 한국인 동료만 있어서,Female,18-29,Centrist,Somewhat distant
128,neighbor,한국 사회에 적응할 수 있게 사회성을 키워주어야 한다.,Female,18-29,Centrist,Somewhat distant
128,vote,나이도 어린 편이라서,Female,18-29,Centrist,Somewhat distant
129,hire,빠른 상황 판단을 위한 지적 능력을 갖추고 있다.,Female,60+,Centrist,Neither close nor distant
129,neighbor,전 노동당원이 아님,Female,60+,Centrist,Neither close nor distant
129,vote,"한국인 동료만 있다는 것은 한국 사회에 어느 정도 적응이 되었다는 것으로, 한국사람과 다름없다고 보인다.",Female,60+,Centrist,Neither close nor distant
130,hire,복잡한 사람보다 평범한 사람이 낫다고 판단함,Female,18-29,Centrist,Very distant
130,neighbor,한국에 오래 체류했다,Female,18-29,Centrist,Very distant
130,vote,한국 체류기간이 김,Female,18-29,Centrist,Very distant
131,hire,한국에서 오래 체류했다,Female,30-39,Centrist,Neither close nor distant
131,neighbor,고르기 힘들었지만 굳이 고르라고 한다면 이분,Female,30-39,Centrist,Neither close nor distant
131,vote,한국에 오래 체류햇다,Female,30-39,Centrist,Neither close nor distant
132,hire,비슷해서 고르기가 힘들었지만 그나마 낫다,Male,40-49,Centrist,Neither close nor distant
132,neighbor,한국에 오래 머물렀고 똑똑해 보인다.,Male,40-49,Centrist,Neither close nor distant
132,vote,고르기 어렵지만 굳이 두분중에 고르라고 한다면 이분,Male,40-49,Centrist,Neither close nor distant
133,hire,전 조선노동당원이 아니라서,Female,30-39,Centrist,Very distant
133,neighbor,없다,Female,30-39,Centrist,Very distant
133,vote,한국 체류기간이 더 길다.,Female,30-39,Centrist,Very distant
134,hire,다양한 의견 제시,Male,18-29,Progressive,Neither close nor distant
134,neighbor,사무직 일을 하고 있어서,Male,18-29,Progressive,Neither close nor distant
134,vote,없다,Male,18-29,Progressive,Neither close nor distant
136,hire,특정한 직업이 있어서,Male,40-49,Centrist,Very distant
136,neighbor,젊은나이,Male,40-49,Centrist,Very distant
136,vote,한국인 친구만 있어서,Male,40-49,Centrist,Very distant
137,hire,직업적 윤리,Male,30-39,Progressive,Neither close nor distant
137,neighbor,"탈북민을 너무 많이 알고 있고, 중국체류기간이 길다",Male,30-39,Progressive,Neither close nor distant
137,vote,미혼,Male,30-39,Progressive,Neither close nor distant
138,hire,중국체류기간이 짧아서,Male,40-49,Centrist,Somewhat close
138,neighbor,한국 생활 적응력이 높다,Male,40-49,Centrist,Somewhat close
138,vote,노동당원이 아님,Male,40-49,Centrist,Somewhat close
139,hire,발전할 가능성이 높다,Female,30-39,Conservative,Somewhat distant
139,neighbor,한국인 동료가 있어,Female,30-39,Conservative,Somewhat distant
139,vote,프로그래머라서,Female,30-39,Conservative,Somewhat distant
141,hire,한국 체류 기간이 김,Male,30-39,Centrist,Very distant
141,neighbor,유망한 직업,Male,30-39,Centrist,Very distant
141,vote,더 열려있을 듯,Male,30-39,Centrist,Very distant
142,hire,직업이 확실함,Female,18-29,Progressive,Neither close nor distant
142,neighbor,나이로 봐서,Female,18-29,Progressive,Neither close nor distant
142,vote,직업적 연관성,Female,18-29,Progressive,Neither close nor distant
143,hire,둘중 나이가 더 많아서,Female,18-29,Centrist,Neither close nor distant
143,neighbor,전문적인 직업을 가지고 있고 체류기간은 동일해서,Female,18-29,Centrist,Neither close nor distant
143,vote,둘중 나이로봐서,Female,18-29,Centrist,Neither close nor distant
145,hire,한국에 오래 거주했고 한국인 동료들만 있다고 하니 우리나라에 적응이 더 많이 됐을거라 생각해새ㅓ,Male,18-29,Conservative,Very distant
145,neighbor,사교성,Male,18-29,Conservative,Very distant
145,vote,"전문적인 직업을 가진 사람이라는 점, 한국체류기간은 같은 점에서 더 낫다고 생각함",Male,18-29,Conservative,Very distant
146,hire,연령,Female,18-29,Centrist,Somewhat distant
146,neighbor,전문성이 있다,Female,18-29,Centrist,Somewhat distant
146,vote,한국거주기간,Female,18-29,Centrist,Somewhat distant
147,hire,사무직은 인맥이 다양한 것이 좋다,Female,18-29,Centrist,Somewhat distant
147,neighbor,사회성이 있을것 같음,Female,18-29,Centrist,Somewhat distant
147,vote,한국 체류기간이 긴편,Female,18-29,Centrist,Somewhat distant
148,hire,안정적,Male,60+,Conservative,Somewhat close
148,neighbor,긍정검토,Male,60+,Conservative,Somewhat close
148,vote,한국내 체류기간이 김,Male,60+,Conservative,Somewhat close
149,hire,목적의식,Male,18-29,Centrist,Somewhat close
149,neighbor,상대적으로 젊고 당원이 아니었음,Male,18-29,Centrist,Somewhat close
