respid,text,sex,age_cohort,political_id3,college
154,동포이고 단기근무자이기때문에 바로 출국이 가능하기 때문,Female,50-59,Centrist,Some college or more
155,중국출신이 아님,Male,60+,Centrist,Some college or more
156,능력있는 이민자는 망명하는쪽이 좋아서,Male,18-29,Progressive,No college
157,우리와 같은 민족으로 비록 한국어를 잘 하지 못하더라도 곧 잘 정착하리라 보아서 선택함,Female,50-59,Centrist,No college
158,출신지와 개인이 처한 상황.그리고 우리말을 배우려고 하는 자세,Male,60+,Progressive,No college
159,그나마 최선책을 찾은것뿐이지 선호하는 프로필은 존재하지 않았다,Male,18-29,Centrist,No college
160,친절,Male,18-29,Progressive,No college
161,한국어을잘해서,Female,50-59,Progressive,Some college or more
162,특별한 이유는없다,Female,50-59,Conservative,Some college or more
163,없음,Male,50-59,Centrist,Some college or more
164,사회에 도움이될만한사람을뽑음,Female,30-39,Centrist,No college
165,한국어 가능여부 및 출신국,Male,30-39,Centrist,Some college or more
166,...........,Female,50-59,Progressive,No college
167,한국어 유창성,Female,18-29,Conservative,No college
168,2명중 그나마 괜찮은 사람인거같다,Male,18-29,Centrist,Some college or more
169,한국에 정착하려는 의지가 강하다,Female,40-49,Centrist,Some college or more
171,보기에좋다,Male,40-49,Centrist,Some college or more
172,자국에 도움이 되는 사람,Female,50-59,Centrist,No college
173,출신지가 미국이고 직업이 괜찮아서,Male,60+,Conservative,No college
174,우리나라에 들어와서 위험성이 조금이라도 적을 것이라고 생각된 쪽을 선택함,Male,30-39,Centrist,Some college or more
175,재정착,Male,50-59,Conservative,Some college or more
176,망명은 확시한 이유가 있어서,Male,50-59,Progressive,Some college or more
178,확실한 직업,Male,60+,Conservative,Some college or more
179,아무래도 교육 수준이 높은 사람이 더 적응하기 슁 ㄹ것 같애서요,Female,60+,Progressive,Some college or more
180,신뢰,Female,30-39,Centrist,Some college or more
181,동포,Male,30-39,Progressive,Some college or more
183,구직의사 및 출신국가가 중요하다고 생각함 동포라고 해서 다 같은 동포라고 생각진 않음,Male,30-39,Centrist,Some college or more
184,한국어의 사용정도,Male,40-49,Centrist,Some college or more
185,동포라는 이미지가 좋았다,Male,50-59,Centrist,Some college or more
186,"국적, 민족성, 적응가능성 등을 순서대로 가산함",Male,40-49,Centrist,Some college or more
187,예멘 출신의 종교를 선호하지 않기 때문임,Male,30-39,Conservative,Some college or more
188,신뢰가 있어서,Female,18-29,Progressive,Some college or more
189,특별한이유없음,Male,40-49,Progressive,Some college or more
190,면접을 기다린다는 점이 신뢰가 가서,Male,30-39,Conservative,Some college or more
191,한국어 사용 능력,Male,40-49,Progressive,Some college or more
192,한국어능력,Male,50-59,Centrist,No college
193,동포,Male,50-59,Progressive,Some college or more
194,열심히 살것 같다,Female,50-59,Conservative,Some college or more
195,우리동포,Male,30-39,Progressive,Some college or more
196,한국어가 어느정도 가능하여 정착후 어려움이 크지않을것이고 예멘인은 단기로 머무를 것이라고 하여 허가해주고싶지않음,Female,18-29,Conservative,Some college or more
197,좀 더 안전한 사람으로 여겨지고 계획이 있어보임,Female,18-29,Conservative,Some college or more
198,계획이 있어서 (어느정도),Male,18-29,Progressive,Some college or more
199,국적 직업 선호,Female,40-49,Progressive,Some college or more
200,경제적인 면,Male,40-49,Centrist,Some college or more
201,정상국가,Male,40-49,Progressive,Some college or more
203,"직업, 정착가능성",Male,40-49,Progressive,Some college or more
204,지금시기가 확정적이지 않아서,Male,40-49,Progressive,No college
205,취업이 완료된 사람이라면 정착하는데 수월할 것 같아서,Male,30-39,Centrist,Some college or more
206,너무 좋아요,Male,18-29,Centrist,No college
207,일을 할수있는 상태,Male,18-29,Centrist,Some college or more
208,모름,Female,40-49,Centrist,No college
209,우리나라 정착해서 잘 지낼거 같아서,Female,30-39,Centrist,No college
210,북한과 평화모드가 조성되길 바라는 마음에,Female,30-39,Centrist,Some college or more
211,이민이 좀더 필요해 보여서,Female,18-29,Centrist,Some college or more
212,일단 한국어를 잘한다는 점에서,Female,18-29,Centrist,Some college or more
213,필요하기 떄문,Male,40-49,Progressive,Some college or more
215,현실 적응력이 나을듯 함,Male,50-59,Centrist,Some college or more
216,한국어 소통이 가능하고 농사일을 하기 위하여 필요한 요건이 충족된다고 판단됩니다.,Male,50-59,Progressive,Some college or more
219,우리나라에 도움이 되고 단순 육체노동자가 아니라서,Female,40-49,Conservative,Some college or more
202,신뢰도,Male,30-39,Progressive,Some college or more
220,"원활한 한국어, 고용확인",Male,30-39,Centrist,Some college or more
221,고용완료,Male,18-29,Centrist,No college
222,우리나라 동포이니까,Male,40-49,Progressive,No college
223,국적에따른 호감도,Male,60+,Conservative,Some college or more
224,한국어가 가능하고 구직을 하였기 때문이다,Female,30-39,Centrist,Some college or more
225,한국에 오는 뚜렷한 계획이 있기 때문에,Female,18-29,Centrist,Some college or more
226,우리나라도 타민족의 이민을 유연하게 받아 들여야 한다고 생각함,Female,50-59,Progressive,No college
227,"선진국,어느정도 교육을 받은 지성인,국가에 이득이 될 수 있는 직업조건,여성",Male,40-49,Centrist,Some college or more
228,가장 우선은 조금이라도 국민에게 해가 될만한 여지가 있는지를 생각합니다.,Female,40-49,Centrist,Some college or more
229,"여성, 서투른 한국어라도 연습하였다는 점",Female,30-39,Centrist,Some college or more
230,조금더 안전하게 보인다.,Male,18-29,Progressive,Some college or more
231,"베트남과 관계가 좋아지고 있고, 의사로서 도움이 될 것 같음",Male,40-49,Progressive,Some college or more
232,둘다 싫지만 그나마 여성 후보자가 낫다. 예멘 국적 남성에 대한 편견이 있다,Female,18-29,Centrist,Some college or more
233,구직활동,Female,40-49,Centrist,Some college or more
234,언어적인 부분,Male,30-39,Centrist,Some college or more
235,없음,Male,50-59,Conservative,No college
237,민족성 및 한국어 구사 가능 여부와 구직 계약 완료여부 등 복합적,Female,18-29,Progressive,Some college or more
238,"방금이 바로 앞의 예를 말하는지? 언어, 목적 등",Female,40-49,Progressive,Some college or more
239,한국어를 하고 확실한 직업이 있는 사람 그리고 우리 동포를 위주로.,Female,40-49,Progressive,Some college or more
240,"와서 문제를 일으킬 소지가 없고, 자기 자신을 부양할 준비가 되어 있어서",Male,18-29,Centrist,No college
241,"여성,재정착",Female,30-39,Progressive,Some college or more
242,직업을 얻기위해 한국으로 들어옴,Male,30-39,Centrist,Some college or more
243,같은 동족 이라서,Female,40-49,Progressive,Some college or more
244,의사소통을 할 수 있는 한국어를 하여서 입니다,Female,40-49,Progressive,No college
245,직업군,Male,18-29,Centrist,No college
246,출신국 때문에,Female,60+,Progressive,No college
247,구직이 정해져있기때문에,Male,50-59,Centrist,Some college or more
248,한국어를 말할수 있어서,Female,40-49,Conservative,Some college or more
250,여성,Male,18-29,Progressive,Some college or more
251,상대적으로 나아서,Male,50-59,Conservative,Some college or more
252,유창항 한국어,Male,60+,Conservative,Some college or more
253,더욱 간절해보였다 한국생활에 더 도움이 될거라 생각.,Female,18-29,Progressive,Some college or more
254,한국어 능력과 이미 한국업체와의 계약 완료,Male,18-29,Progressive,Some college or more
255,"구직이 되었거나, 구직계획이 있을 때만 허가",Male,18-29,Centrist,Some college or more
256,이민자로 적합해보임,Male,40-49,Centrist,Some college or more
257,보다 전문적인 지식을 가지고 있음,Male,40-49,Progressive,Some college or more
258,적응이 빠르고 분란의 소지가 적음,Male,60+,Progressive,Some college or more
259,북한 동포 출신의 우선 선택하였음,Male,50-59,Progressive,Some college or more
260,직업,Male,50-59,Progressive,Some college or more
261,망명을 하기 위한 신청이라면 사유를 확인햐여야 하겠지만 일단을 긍정적으로 받아들인후 면밀하게 조사를 해야함,Female,50-59,Centrist,No college
262,같은 민족이기때문에,Male,40-49,Centrist,Some college or more
264,프로필이 마음에 들어서,Female,50-59,Progressive,Some college or more
265,한국어를 할 줄 알아서,Female,40-49,Centrist,No college
266,우리 동포여서 동질감이 있기 때문에,Male,50-59,Centrist,Some college or more
267,각자의 뚜렷한 직업때문,Female,40-49,Centrist,Some college or more
268,불법 체류의 가능성이 상대적으로 적음,Male,40-49,Centrist,Some college or more
269,후보자의 의지,Male,18-29,Centrist,Some college or more
270,국내에서 취업예정임,Female,50-59,Centrist,Some college or more
271,동포,Male,50-59,Progressive,Some college or more
272,그냥,Male,60+,Progressive,Some college or more
273,한국어를 유창하게 구사함,Male,60+,Centrist,Some college or more
274,우리나라동포,Female,18-29,Centrist,Some college or more
275,진정성,Male,60+,Progressive,Some college or more
276,우리나라에 정착하고 적응하고자 하는 의지를 파악해 보았다.,Male,50-59,Centrist,Some college or more
277,한국어가능,Male,40-49,Centrist,Some college or more
278,동포,Female,40-49,Progressive,Some college or more
279,더 호감이 가서,Male,18-29,Centrist,Some college or more
280,망명아님,Male,60+,Conservative,Some college or more
283,장래에 국가나 미래에 도움이 될것같아서이다,Female,50-59,Progressive,Some college or more
284,동일민족,Male,50-59,Progressive,Some college or more
285,Fhhh,Female,30-39,Centrist,Some college or more
287,이민의 자격이 충분하기때문에 안전하다고 판단되어서,Male,30-39,Progressive,Some college or more
289,예맨 사람보다는 나을것 같아서,Female,18-29,Centrist,Some college or more
290,나와 맞는 성격이여서,Female,18-29,Progressive,Some college or more
291,좀 더 믿음이 가서,Female,40-49,Conservative,Some college or more
292,한국어능력,Male,30-39,Centrist,Some college or more
293,한국말이 가능하고 구직활동 등 뚜렷한계획이 있으므로,Female,18-29,Centrist,Some college or more
296,의사라는 직업과 한국어를 할 수 있다는 점 때문에,Male,40-49,Progressive,Some college or more
298,"방금 중국남성과 북한여성 중 고르는 문제는, 중국남성은 별다른 직업도 능력도 없어 한국사회에 도움이 되지 않을 것으로 보았기 때문. 둘 중 그나마 북한여성은 자립의지가 보였음.",Female,18-29,Centrist,Some college or more
299,동포라서,Female,40-49,Centrist,Some college or more
300,구직계획이 있는 동포이므로,Female,40-49,Conservative,Some college or more
301,이왕이면 동포니까.,Male,60+,Conservative,Some college or more
302,직업을 갖기 쉬울것 같아서,Female,30-39,Centrist,Some college or more
303,같은 민족이라서,Male,50-59,Centrist,Some college or more
304,미국이고 여자,Female,60+,Centrist,Some college or more
305,무난,Female,40-49,Conservative,No college
306,비교 대상보다 조건이 조은것 같음,Male,50-59,Progressive,Some college or more
307,한국어를 사용 할 수 있기 때문. 현 행정직을 하면서 외국인들을 많이 마주하는데 한국어를 하지 못하는 직원들은 너무 힘들고 솔직히 해결방법이 적어짐,Female,18-29,Progressive,Some college or more
308,"전반적으로 선홓사지 않고, 공부등을 이한 이민등은 유보적인 입장입니다.",Female,30-39,Conservative,Some college or more
309,한국어가 유창하기 때문에. 서로간 의사소통이 되지 않으면 함께 일을 할 수조차 없어서 한국어 유창자를 필요로 함,Female,40-49,Progressive,Some college or more
310,특별이유없음,Female,40-49,Progressive,Some college or more
311,"성별, 한국어구사 등 고려함",Male,40-49,Progressive,Some college or more
312,정착할 준비가 되었다,Male,40-49,Conservative,No college
313,한국어 가능,Female,40-49,Conservative,Some college or more
315,특별한 이유없음,Male,50-59,Conservative,No college
316,좀더 안정적으로 한국사회에 적응할수있다고 생각함.,Male,60+,Progressive,Some college or more
318,직업이 있음,Male,40-49,Centrist,Some college or more
317,성실 할 것 같아서,Female,50-59,Conservative,Some college or more
319,동포의 경우에 더 선호하게 되는 경향이 있었다.,Female,30-39,Conservative,Some college or more
320,한국어 능력,Female,18-29,Centrist,No college
321,언어습득력과 직업 부분,Female,40-49,Centrist,Some college or more
322,5566,Male,18-29,Centrist,Some college or more
323,직업 및 단기-정착 보고 고름. 안그래도 내국적으로도 취업이 어려운데 외국인까지 오면 더 곤란해서.,Female,18-29,Centrist,Some college or more
324,한국어를 할 줄 알아서,Male,18-29,Centrist,Some college or more
326,선호하기 보다는 둘중에 굳이 선택해야한다면,Female,30-39,Conservative,Some college or more
327,우선 사상적으로 안정 되어있느느것 같아서,Female,40-49,Conservative,No college
329,우리나라에 기여도,Male,60+,Conservative,Some college or more
330,전문직,Male,40-49,Centrist,Some college or more
331,한국어를 할줄알면 적응이쉬우니까,Male,60+,Conservative,No college
332,단기이주계획이기때문에 그기간동안만 잘관리하면 된다,Female,40-49,Conservative,Some college or more
333,우리나라와 잘 맞는 거 같아서,Female,40-49,Conservative,Some college or more
335,성별 및 한국어 사용여부,Male,18-29,Centrist,Some college or more
336,"더 끌리고, 위험요소가 덜 한 사람 같아서",Female,30-39,Progressive,Some college or more
337,더 신뢰가 가서,Female,60+,Conservative,No college
339,확실히 일을 하려고 해서. 구직이 예정이 아니고 아예 합격된 상태이기 때문에.,Female,18-29,Progressive,Some college or more
340,취업을 해서,Male,30-39,Conservative,Some college or more
341,우리나라가 아니면 살기 힘들 것 같아서,Female,18-29,Progressive,No college
345,한국에서 잘 적응할수있어서,Male,50-59,Progressive,Some college or more
348,"노력, 이민 후보자의 태도",Male,30-39,Progressive,Some college or more
350,믿을수있어서,Female,18-29,Progressive,Some college or more
351,출산국,Female,30-39,Centrist,Some college or more
352,서투른 한국말사용,Male,60+,Conservative,Some college or more
353,최악 보다는 차악 이라서 ( 둘다 내키진 않음 ),Female,40-49,Centrist,No college
354,국가에 적극 적응 하려는 노략이 보인다,Female,50-59,Progressive,Some college or more
355,적응 가능성이 상대적으로 높다고 판단됨,Male,40-49,Progressive,Some college or more
356,전문직,Female,50-59,Conservative,Some college or more
358,구체적 목적을 가지고 있어서,Female,30-39,Centrist,Some college or more
360,우리나라에 정착하기 위해서는 언어가 우선이라고 생각되며 직업의 종류 또한 중요하다고 생각한다.,Female,40-49,Progressive,Some college or more
359,"구직, 한국어 유창성, 한국 동화 용이",Female,60+,Progressive,Some college or more
361,믿을수있으서,Female,40-49,Centrist,Some college or more
363,친근해서,Female,30-39,Centrist,Some college or more
364,동포,Female,50-59,Centrist,Some college or more
365,그냥,Male,18-29,Centrist,Some college or more
366,뚜렷하다,Male,18-29,Centrist,Some college or more
367,이미 베트남 사람들은 한국에 많이 와서 일을 하고있다,Male,18-29,Centrist,Some college or more
369,ㅎ하한ㄱ구국ㅁ미ㅁ마말,Female,18-29,Conservative,Some college or more
371,없음,Female,18-29,Centrist,Some college or more
372,여성이고 한국말을 쓸 줄 아는 사람을 고름.,Female,18-29,Progressive,Some college or more
373,맘가는대로 선택함,Female,50-59,Centrist,Some college or more
374,"구직활동을 하려거나 노동을 하려는 자, 그나라의 언어를 공부했다는 것은 살기위해 노력하는 것이기 때문에 선호함.",Female,18-29,Centrist,Some college or more
375,모름,Male,40-49,Progressive,Some college or more
376,망명이란게 쉬운일이 아니라서,Male,40-49,Progressive,Some college or more
377,더 안정적,Female,30-39,Centrist,Some college or more
378,친밀감,Male,60+,Progressive,Some college or more
379,여성이여서,Male,50-59,Progressive,Some college or more
380,의사로서 우리나라의 의료기술에 도움을 줄 수 있을 것 같다고 생각했기 때문입니다.,Female,18-29,Centrist,No college
382,국적,Male,18-29,Conservative,No college
383,미국 일본,Female,18-29,Progressive,No college
236,한국과 더욱 가가운 나라에서 이민온 외국인,Male,40-49,Progressive,Some college or more
384,믿음이 가는 쪽을 선택,Male,18-29,Progressive,Some college or more
385,신뢰감이 크다,Male,30-39,Centrist,Some college or more
386,구직활동에 대한 계획 또는 명확한 취업사실 확인,Male,18-29,Progressive,Some college or more
381,지금도 의사는 많음,Male,60+,Conservative,No college
387,합리적인 것 같아서,Male,50-59,Centrist,Some college or more
389,북한 탈북자는 우리나라국민이다.,Male,18-29,Conservative,Some college or more
391,두나라밖에없어,Male,40-49,Centrist,Some college or more
392,농촌의 일손부족,Male,50-59,Progressive,Some college or more
393,구직활동기준,Male,18-29,Centrist,Some college or more
395,프로필을 보고 마음이가는데로 선택,Female,50-59,Centrist,No college
396,같은 한민족이기 때문에 북한사람을 선택함,Male,40-49,Progressive,Some college or more
399,언어,Male,30-39,Centrist,Some college or more
397,예멘,Male,18-29,Centrist,Some college or more
400,망명이기 때문에. 일시적인게 아니어서.,Female,40-49,Centrist,Some college or more
401,확실한 동기를 가지고 입국,Male,18-29,Centrist,Some college or more
402,"단기체류, 국적",Female,50-59,Progressive,Some college or more
403,국익에 도움,Male,50-59,Progressive,Some college or more
404,국가,Male,40-49,Conservative,Some college or more
405,직업이 의사이고 구직활동을 할 예정이라는 점 때문에,Female,18-29,Centrist,Some college or more
406,딱히 없음,Male,50-59,Progressive,No college
407,생산적인 직업을 가지고 있어서,Male,18-29,Centrist,No college
410,재정착하기 위해 노력하고 있는 점과 단기가 아닌 장기간이라는 점,Male,40-49,Progressive,Some college or more
411,여성으로서 나라에 이바지할 것같음,Female,60+,Conservative,Some college or more
412,단기근무가 아닌 망명이므로,Male,50-59,Progressive,Some college or more
414,유창한 한국어를 사용하고 동포이기 때문에,Female,30-39,Centrist,Some college or more
415,질문을 이해하기 어렵습니다.,Male,18-29,Conservative,Some college or more
416,개인적으로 베트남인을 선호.,Male,60+,Centrist,Some college or more
417,별다른 이유 없다,Female,30-39,Centrist,Some college or more
418,rmsid,Male,18-29,Centrist,Some college or more
419,취업,Male,50-59,Centrist,Some college or more
420,한국말 능통자,Male,18-29,Centrist,Some college or more
421,안정되게 정착할 가능성이 높다,Male,50-59,Centrist,Some college or more
422,"제일 우선 순위는 여성인가, 다음으로는 한국어를 조금이라도 할 수 있는가",Female,18-29,Progressive,Some college or more
423,그나마 불법체류자가 될 가능성이 낮아 보여서,Male,30-39,Progressive,Some college or more
424,신원의 확실함,Male,18-29,Centrist,Some college or more
425,출신국과 체류목적이 공부나 취업인 경우를 선호,Female,18-29,Centrist,Some college or more
426,"언어, 직업, 정착의욕",Male,60+,Centrist,Some college or more
427,고용확정,Male,50-59,Centrist,Some college or more
429,한국어를 할수있어서,Female,40-49,Progressive,No college
431,국적,Female,50-59,Progressive,Some college or more
432,어디서든 살기위한 노력은 이해해줘야할거같음,Female,50-59,Centrist,No college
